Year,Organization,Electricity Use - Grid Purchase (kWh),Natural Gas Use (GJ)
2023,City of Ottawa,35127.7,Not Available
2023,City of Ottawa,42805.3,32.5
2023,City of Ottawa,27342.6,217.5
2023,City of Ottawa,19965.6,148.7
2023,City of Ottawa,44298.9,397.4
2023,City of Ottawa,37707.3,184.8
2023,City of Ottawa,104788.1,384.3
2023,City of Ottawa,28424.6,940.9
2023,City of Ottawa,41524.5,353.7
2023,City of Ottawa,43539.4,260.5
2023,City of Ottawa,20923.9,Not Available
2023,City of Ottawa,60893.8,463.5
2023,City of Ottawa,27359.8,227.5
2023,City of Ottawa,33544.8,303.2
2023,City of Ottawa,62495,531.8
2023,City of Ottawa,22532.4,187.7
2023,City of Ottawa,158465.8,Not Available
2023,City of Ottawa,109777.7,467.8
2023,City of Ottawa,1723618.2,7644.1
2023,City of Ottawa,1544113.5,2820.1
2023,City of Ottawa,384680.9,2033.5
2023,City of Ottawa,144003.7,Not Available
2023,City of Ottawa,1331816.6,8745.2
2023,City of Ottawa,2899434.7,9958.7
2023,City of Ottawa,164697.1,484.4
2023,City of Ottawa,694989,2886.3
2023,City of Ottawa,278054.2,1060.3
2023,City of Ottawa,221707.4,492.2
2023,City of Ottawa,641973.1,2548.6
2023,City of Ottawa,202365.7,969.7
2023,City of Ottawa,75027.3,1203
2023,City of Ottawa,36850,Not Available
2023,City of Ottawa,203101.5,1681.7
2023,City of Ottawa,545776,8078.5
2023,City of Ottawa,270360.5,2125.6
2023,City of Ottawa,535803.7,574.9
2023,City of Ottawa,723936.9,1920.2
2023,City of Ottawa,555363.8,2457.2
2023,City of Ottawa,345540.7,1949.8
2023,City of Ottawa,1919581,2435.3
2023,City of Ottawa,917106.6,2525.2
2023,City of Ottawa,1160528.7,2224.4
2023,City of Ottawa,409166.6,1103.9
2023,City of Ottawa,1238257,6972.2
2023,City of Ottawa,2217435.7,3067.9
2023,City of Ottawa,12493,142.5
2023,City of Ottawa,67530.7,Not Available
2023,City of Ottawa,43542.7,Not Available
2023,City of Ottawa,38611.9,62.8
2023,City of Ottawa,39913.4,Not Available
2023,City of Ottawa,7847476.6,7329.9
2023,City of Ottawa,146032.1,682
2023,City of Ottawa,15534.8,170.4
2023,City of Ottawa,220439.6,985.5
2023,City of Ottawa,75558.3,320.7
2023,City of Ottawa,94947.2,257.5
2023,City of Ottawa,93772,378.8
2023,City of Ottawa,144325.9,182.4
2023,City of Ottawa,108534.7,117.8
2023,City of Ottawa,1352667.2,1927.8
2023,City of Ottawa,59559.1,7.3
2023,City of Ottawa,19226.2,Not Available
2023,City of Ottawa,27257.6,Not Available
2023,City of Ottawa,123535.3,777.9
2023,City of Ottawa,18013.7,77.9
2023,City of Ottawa,169323.7,573.9
2023,City of Ottawa,44043.7,Not Available
2023,City of Ottawa,79740.6,436.9
2023,City of Ottawa,180616.2,348.8
2023,City of Ottawa,190777.9,200.8
2023,City of Ottawa,Not Available,287.8
2023,City of Ottawa,8526.1,56
2023,City of Ottawa,13358.7,147
2023,City of Ottawa,23929.3,99.8
2023,City of Ottawa,497599.6,2307.1
2023,City of Ottawa,1143552.8,2876.6
2023,City of Ottawa,31979.8,326.9
2023,City of Ottawa,597304.6,1022.9
2023,City of Ottawa,73625.1,Not Available
2023,City of Ottawa,240321,1884.3
2023,City of Ottawa,330128.9,2567.4
2023,City of Ottawa,5698035.5,12796.3
2023,City of Ottawa,680814.7,924.2
2023,City of Ottawa,507207.8,1561.3
2023,City of Ottawa,56543.1,605.9
2023,City of Ottawa,3566061.3,13225.8
2023,City of Ottawa,98355.3,466.6
2023,City of Ottawa,682751.8,4292.1
2023,City of Ottawa,148706.6,Not Available
2023,City of Ottawa,71888.8,Not Available
2023,City of Ottawa,754474.2,1362.4
2023,City of Ottawa,37389.4,422.5
2023,City of Ottawa,206675,Not Available
2023,City of Ottawa,96786,513.7
2023,City of Ottawa,64344.9,223.6
2023,City of Ottawa,7109192.5,57963.7
2023,City of Ottawa,3854889.5,41811.8
2023,City of Ottawa,3476286.5,48259.2
2023,City of Ottawa,1828562.1,26368.6
2023,City of Ottawa,133559.4,82.3
2023,City of Ottawa,586611.8,1186
2023,City of Ottawa,36725.8,122.9
2023,City of Ottawa,163175.2,2045.7
2023,City of Ottawa,177968.5,1193.3
2023,City of Ottawa,125298.4,363.6
2023,City of Ottawa,164392.4,1231.3
2023,City of Ottawa,689261.2,Not Available
2023,City of Ottawa,1097588.7,4088.7
2023,City of Ottawa,1156630.5,8551.4
2023,City of Ottawa,410423.3,795.2
2023,City of Ottawa,320412.1,1546.1
2023,City of Ottawa,3245846.6,7606.4
2023,City of Ottawa,1214796.2,1793.5
2023,City of Ottawa,471033.9,1503
2023,City of Ottawa,78390.1,245.3
2023,City of Ottawa,529143.8,681.6
2023,City of Ottawa,4242740.4,15440.4
2023,City of Ottawa,460828.7,1127.6
2023,City of Ottawa,2021214,8883.8
2023,City of Ottawa,37421706,35583.3
2023,City of Ottawa,53875,446.5
2023,City of Ottawa,47007.7,256.8
2023,City of Ottawa,367622,1737.5
2023,City of Ottawa,200713.8,1163.8
2023,City of Ottawa,28352.5,89.7
2023,City of Ottawa,816286,1775.7
2023,City of Ottawa,117336.6,495.7
2023,City of Ottawa,431723.5,2392.4
2023,City of Ottawa,956327.1,3982.1
2023,City of Ottawa,8004209.4,21898.6
2023,City of Ottawa,1401153.7,5163.7
2023,City of Ottawa,2434735.8,17275.4
2023,City of Ottawa,1100746.6,1305.2
2023,City of Ottawa,111874.9,143.5
2023,City of Ottawa,364343.6,Not Available
2023,City of Ottawa,55334.5,280.4
2023,City of Ottawa,479806.3,1467.5
2023,City of Ottawa,6695218.1,10032.1
2023,City of Ottawa,36368.5,313.5
2023,City of Ottawa,34269,122.6
2023,City of Ottawa,174705.1,1002.7
2023,City of Port Colborne,358041,747.4
2023,City of Port Colborne,279693.9,2750
2023,City of Port Colborne,74577,664.1
2023,City of Port Colborne,5895,Not Available
2023,City of Port Colborne,92804,669.7
2023,City of Port Colborne,12739,144
2023,City of Port Colborne,3571,6.2
2023,City of Port Colborne,9465,189.9
2023,City of Port Colborne,163500,783.7
2023,City of Port Colborne,3393,51.9
2023,City of Port Colborne,10888,130.5
2023,City of Port Colborne,4087,68.2
2023,City of Port Colborne,56323,701.7
2023,City of Port Colborne,6740,131.2
2023,City of Port Colborne,3061259.5,10565.4
2023,City of Quinte West,71824.6,Not Available
2023,City of Quinte West,40381.9,Not Available
2023,City of Quinte West,266284.7,Not Available
2023,City of Quinte West,98754.8,807
2023,City of Quinte West,72509,Not Available
2023,City of Quinte West,178497.3,Not Available
2023,City of Quinte West,37637.1,Not Available
2023,City of Quinte West,804341.1,1918.3
2023,City of Quinte West,7881.5,22.7
2023,City of Quinte West,149574.8,Not Available
2023,City of Quinte West,456125.1,1429
2023,City of Quinte West,5371.6,71.3
2023,City of Quinte West,1480.2,Not Available
2023,City of Quinte West,14206.7,Not Available
2023,City of Quinte West,7081.5,Not Available
2023,City of Quinte West,12740.5,205.9
2023,City of Quinte West,20449.2,442.5
2023,City of Quinte West,7438.5,193.3
2023,City of Quinte West,7397.1,75.5
2023,City of Quinte West,6456.2,Not Available
2023,City of Quinte West,16961.7,114.2
2023,City of Quinte West,160336.3,1491.5
2023,City of Quinte West,260872.1,1531
2023,City of Quinte West,545.1,Not Available
2023,City of Quinte West,2426,36
2023,City of Quinte West,35159.3,80.8
2023,City of Quinte West,3177.6,Not Available
2023,City of Quinte West,14601,Not Available
2023,City of Quinte West,8844.7,Not Available
2023,City of Quinte West,1169108.8,2902
2023,City of Quinte West,2107.5,Not Available
2023,City of Quinte West,42870.5,Not Available
2023,City of Quinte West,2780.6,Not Available
2023,City of Quinte West,2912.6,Not Available
2023,City of Quinte West,1005.2,Not Available
2023,City of Quinte West,2165.2,Not Available
2023,City of Quinte West,682.6,Not Available
2023,City of Quinte West,4557.6,Not Available
2023,City of Quinte West,105819.8,573.2
2023,City of Quinte West,3971.2,Not Available
2023,City of Quinte West,105006.6,985.5
2023,City of Quinte West,9426.1,Not Available
2023,City of Quinte West,99989.6,Not Available
2023,City of Quinte West,23787.9,342.5
2023,City of Quinte West,29039.2,Not Available
2023,City of Quinte West,11592.1,Not Available
2023,City of Quinte West,349158.6,Not Available
2023,City of Quinte West,51536.7,Not Available
2023,City of Quinte West,5925.9,192.1
2023,City of Quinte West,13069.2,Not Available
2023,City of Quinte West,10024.5,Not Available
2023,City of Quinte West,93049.7,Not Available
2023,City of Quinte West,23271.8,Not Available
2023,City of Quinte West,26220.8,Not Available
2023,City of Quinte West,22560.4,39.4
2023,City of Quinte West,467141.8,6751
2023,City of Quinte West,3900.7,Not Available
2023,City of Quinte West,65103.1,309.7
2023,City of Quinte West,Not Available,350.7
2023,City of Quinte West,6562,Not Available
2023,City of Quinte West,2491,Not Available
2023,City of Quinte West,12529.1,89.8
2023,City of Quinte West,2585,Not Available
2023,City of Quinte West,151251.4,413.2
2023,City of Quinte West,30303.4,Not Available
2023,City of Quinte West,106981.3,Not Available
2023,City of Quinte West,305573.5,4059.7
2023,City of Quinte West,735510.7,Not Available
2023,City of Quinte West,82492,Not Available
2023,City of Quinte West,1169.8,Not Available
2023,City of Quinte West,40015.7,Not Available
2023,City of Quinte West,1545477.9,Not Available
2023,City of Quinte West,2402074.3,9147.8
2023,City of Quinte West,51,Not Available
2023,City of Quinte West,2393,Not Available
2023,City of Sault Ste. Marie,2429967.9,Not Available
2023,City of Sault Ste. Marie,5000234.1,14504.4
2023,City of Sault Ste. Marie,43376.6,472.2
2023,City of Sault Ste. Marie,2736254.5,15065.7
2023,City of Sault Ste. Marie,113483.4,514.3
2023,City of Sault Ste. Marie,2962363,1772.5
2023,City of Sault Ste. Marie,155291.8,0
2023,City of Sault Ste. Marie,53853.8,1026.1
2023,City of Sault Ste. Marie,164642.7,905.7
2023,City of Sault Ste. Marie,2115608,866.8
2023,City of Sault Ste. Marie,150606.2,1909.1
2023,City of Sault Ste. Marie,40105.7,297.5
2023,City of Sault Ste. Marie,44805.3,261
2023,City of Sault Ste. Marie,803797,7020.7
2023,City of Sault Ste. Marie,508662.4,3156.9
2023,City of Sault Ste. Marie,160382.6,514
2023,City of Sault Ste. Marie,245385.8,3555.9
2023,City of Sault Ste. Marie,1265307.9,5472.8
2023,City of St. Catharines,6007.2,Not Available
2023,City of St. Catharines,17319.5,Not Available
2023,City of St. Catharines,68528.9,Not Available
2023,City of St. Catharines,60609.3,507.1
2023,City of St. Catharines,555203.1,2443
2023,City of St. Catharines,40102,394.1
2023,City of St. Catharines,487248.7,1204.9
2023,City of St. Catharines,27804.9,150.6
2023,City of St. Catharines,809898.2,1937.5
2023,City of St. Catharines,15185.3,301.4
2023,City of St. Catharines,100236.3,690.9
2023,City of St. Catharines,166269.2,1078.2
2023,City of St. Catharines,26403.9,314.8
2023,City of St. Catharines,41866.1,459.4
2023,City of St. Catharines,78175.6,561
2023,City of St. Catharines,36071.9,584.5
2023,City of St. Catharines,1424646.6,3067.2
2023,City of St. Catharines,1581038.2,8723.9
2023,City of St. Catharines,932090.4,6789.4
2023,City of St. Catharines,45791.8,617.8
2023,City of St. Catharines,961.5,Not Available
2023,City of St. Catharines,24249.6,389
2023,City of St. Catharines,2476096.8,11544.9
2023,City of St. Catharines,4316.9,Not Available
2023,City of St. Catharines,6977,98.8
2023,City of St. Catharines,453372.8,804.8
2023,City of St. Catharines,147329.3,634.4
2023,City of St. Catharines,214324,Not Available
2023,City of St. Catharines,1464,236.1
2023,City of St. Catharines,721,Not Available
2023,City of St. Catharines,48419.8,572.6
2023,City of St. Catharines,5223.5,Not Available
2023,City of St. Catharines,238062.1,1760.6
2023,City of St. Catharines,71094.5,249.6
2023,City of St. Catharines,4547520.8,15024.5
2023,City of St. Catharines,2104.1,232.2
2023,City of St. Catharines,768223.9,3692.9
2023,City of St. Catharines,14051,Not Available
2023,City of St. Catharines,14895.4,Not Available
2023,City of St. Catharines,17502.2,Not Available
2023,City of St. Catharines,26133.9,91.3
2023,City of Stratford,6666,285.3
2023,City of Stratford,40620,88.8
2023,City of Stratford,2063963.5,Not Available
2023,City of Stratford,31904,777.6
2023,City of Stratford,441468,1986.4
2023,City of Stratford,14980,575.7
2023,City of Stratford,352469,1250.1
2023,City of Stratford,59134,215
2023,City of Stratford,29721,297.8
2023,City of Stratford,428648.9,667.5
2023,City of Stratford,205389.9,759.6
2023,City of Stratford,16007,Not Available
2023,City of Stratford,2747554.3,13522
2023,City of Stratford,21306,260.7
2023,City of Stratford,128983,974.5
2023,City of Stratford,3281899.5,0
2023,City of Stratford,162977.9,4421.4
2023,City of Temiskaming Shores,505100.9,4005.8
2023,City of Temiskaming Shores,380841.9,3003.5
2023,City of Temiskaming Shores,20800,419.5
2023,City of Temiskaming Shores,1332,Not Available
2023,City of Temiskaming Shores,59,Not Available
2023,City of Temiskaming Shores,93,Not Available
2023,City of Temiskaming Shores,216829,1415.9
2023,City of Temiskaming Shores,42464,1121.2
2023,City of Temiskaming Shores,3975,Not Available
2023,City of Temiskaming Shores,11162,467
2023,City of Temiskaming Shores,13634,340.6
2023,City of Temiskaming Shores,0,0
2023,City of Temiskaming Shores,129968,Not Available
2023,City of Temiskaming Shores,0,0
2023,City of Temiskaming Shores,331434,Not Available
2023,City of Temiskaming Shores,118559.9,290.3
2023,City of Temiskaming Shores,72348,402.1
2023,City of Temiskaming Shores,24783,Not Available
2023,City of Temiskaming Shores,136181,Not Available
2023,City of Temiskaming Shores,173700,Not Available
2023,City of Temiskaming Shores,366713,2554
2023,City of Temiskaming Shores,23578,711.7
2023,City of Temiskaming Shores,37306,1932.4
2023,City of Temiskaming Shores,72661,Not Available
2023,City of Temiskaming Shores,45097,677.7
2023,City of Temiskaming Shores,10588,Not Available
2023,City of Temiskaming Shores,48240,694.9
2023,City of Temiskaming Shores,5329,173.7
2023,City of Temiskaming Shores,187080,Not Available
2023,City of Temiskaming Shores,385922,Not Available
2023,City of Temiskaming Shores,0,Not Available
2023,City of Temiskaming Shores,18867,839.8
2023,City of Temiskaming Shores,533115,871.9
2023,City of Temiskaming Shores,536040,265.3
2023,City of Temiskaming Shores,136920,88
2023,City of Thunder Bay,273892.8,724.1
2023,City of Thunder Bay,160457.6,1262.9
2023,City of Thunder Bay,24761,Not Available
2023,City of Thunder Bay,26897.5,Not Available
2023,City of Thunder Bay,30037.8,Not Available
2023,City of Thunder Bay,1184648.9,3199.6
2023,City of Thunder Bay,19872.4,Not Available
2023,City of Thunder Bay,8212.8,112.1
2023,City of Thunder Bay,31192.8,248.9
2023,City of Thunder Bay,1425617.8,16244.2
2023,City of Thunder Bay,334601.3,4705.8
2023,City of Thunder Bay,496503.9,2913.2
2023,City of Thunder Bay,172974.4,0.6
2023,City of Thunder Bay,559775.9,2738.6
2023,City of Thunder Bay,139944,326.1
2023,City of Thunder Bay,385954.2,3142.8
2023,City of Thunder Bay,1372898.8,7570.4
2023,City of Thunder Bay,87034.1,439.6
2023,City of Thunder Bay,209912.1,1603.5
2023,City of Thunder Bay,37725.8,814.8
2023,City of Thunder Bay,33862.9,263.7
2023,City of Thunder Bay,278613.6,1883.8
2023,City of Thunder Bay,19982.1,362.1
2023,City of Thunder Bay,26530.8,334.4
2023,City of Thunder Bay,101589.5,Not Available
2023,City of Thunder Bay,65757.3,423.9
2023,City of Thunder Bay,4608.8,101.7
2023,City of Thunder Bay,387775.2,2342.8
2023,City of Thunder Bay,52998.9,387.9
2023,City of Thunder Bay,27589.8,333.9
2023,City of Thunder Bay,84637.1,Not Available
2023,City of Thunder Bay,52605.8,130.8
2023,City of Thunder Bay,321468,2098.2
2023,City of Thunder Bay,13440.8,Not Available
2023,City of Thunder Bay,21334.1,Not Available
2023,City of Thunder Bay,139357.1,3603.3
2023,City of Thunder Bay,150479.4,1325.3
2023,City of Thunder Bay,98519.8,603.6
2023,City of Thunder Bay,23271.9,Not Available
2023,City of Thunder Bay,290989.2,2051.6
2023,City of Thunder Bay,78146.8,342.8
2023,City of Thunder Bay,269425.6,845.5
2023,City of Thunder Bay,Not Available,129.2
2023,City of Thunder Bay,59279.8,507.6
2023,City of Thunder Bay,54719.9,408.6
2023,City of Thunder Bay,53399.8,331.3
2023,City of Thunder Bay,67021.3,970.9
2023,City of Thunder Bay,471506.3,2843.4
2023,City of Thunder Bay,12940.9,125.4
2023,City of Thunder Bay,23973.7,Not Available
2023,City of Thunder Bay,20969.8,187.3
2023,City of Thunder Bay,39651.4,Not Available
2023,City of Thunder Bay,72117.5,384.9
2023,City of Thunder Bay,32819.8,663.9
2023,City of Thunder Bay,594035.9,7935.1
2023,City of Thunder Bay,43358.1,Not Available
2023,City of Thunder Bay,31519.8,412.3
2023,City of Thunder Bay,23509.8,187
2023,City of Thunder Bay,157562.6,1530.9
2023,City of Thunder Bay,532699.1,487.9
2023,City of Thunder Bay,69362,222.7
2023,City of Thunder Bay,105039.8,674.8
2023,City of Thunder Bay,852489.9,1732.1
2023,City of Thunder Bay,11408686.7,23443.8
2023,City of Thunder Bay,6909029.2,14185.8
2023,City of Timmins,1167483.2,12590.2
2023,City of Timmins,379453.6,1876.6
2023,City of Timmins,20272.1,163.5
2023,City of Timmins,48364.5,739.6
2023,City of Timmins,11052.3,Not Available
2023,City of Timmins,22096.1,Not Available
2023,City of Timmins,2545.2,Not Available
2023,City of Timmins,79985.9,151.4
2023,City of Timmins,96188.7,1257
2023,City of Timmins,7888.8,173.3
2023,City of Timmins,40596.7,Not Available
2023,City of Timmins,1815180.5,7206.2
2023,City of Timmins,8989.3,Not Available
2023,City of Timmins,71102.8,839.2
2023,City of Timmins,215465.8,1174
2023,City of Timmins,28800,591.5
2023,City of Timmins,1430319.5,9568
2023,City of Timmins,445125.5,1889.9
2023,City of Timmins,32917.7,210.5
2023,City of Timmins,275991.6,1015
2023,City of Timmins,2753.3,289.7
2023,City of Timmins,10337.5,906
2023,City of Timmins,22075.7,490.8
2023,City of Timmins,25687,396.4
2023,City of Timmins,798412.4,2920
2023,City of Timmins,79949.5,1199.3
2023,City of Timmins,323277,4008.7
2023,City of Timmins,437664,5164.1
2023,City of Timmins,276688.5,4808.3
2023,City of Timmins,Not Available,351.4
2023,City of Timmins,165572.9,195.6
2023,City of Timmins,1006222.6,6362
2023,City of Timmins,4417529.6,3968.8
2023,City of Timmins,361759.1,2186.6
2023,City of Timmins,18695.1,Not Available
2023,City of Timmins,883925.9,Not Available
2023,City of Timmins,3577459.6,18484.6
2023,City of Waterloo,Not Available,Not Available
2023,City of Waterloo,1240826.5,3575.7
2023,City of Waterloo,187018.4,Not Available
2023,City of Waterloo,43872.1,403.2
2023,City of Waterloo,239833.1,633.8
2023,City of Waterloo,11208.9,243.3
2023,City of Waterloo,58574.9,Not Available
2023,City of Waterloo,154577.5,Not Available
2023,City of Waterloo,34569,Not Available
2023,City of Waterloo,14228.1,Not Available
2023,City of Waterloo,113932.4,757.2
2023,City of Waterloo,440044.7,823.9
2023,City of Waterloo,85296,655.8
2023,City of Waterloo,61268.9,679.8
2023,City of Waterloo,10366.6,Not Available
2023,City of Waterloo,1308.3,Not Available
2023,City of Waterloo,55756.3,Not Available
2023,City of Waterloo,21836,Not Available
2023,City of Waterloo,51629.9,Not Available
2023,City of Waterloo,5644060,14900.9
2023,City of Waterloo,505933.6,1876.7
2023,City of Waterloo,1409.4,53.6
2023,City of Waterloo,11373.5,Not Available
2023,City of Waterloo,558043,1961.6
2023,City of Waterloo,287082.9,253.5
2023,City of Waterloo,890093.6,2847.6
2023,City of Waterloo,1315695.4,6872
2023,City of Waterloo,265158.3,2215.6
2023,City of Waterloo,7835,105.9
2023,City of Waterloo,60845,584.6
2023,City of Windsor,807136.5,157.9
2023,City of Windsor,1421153.9,670.7
2023,City of Windsor,661189.3,2274.8
2023,City of Windsor,4226.5,126.9
2023,City of Windsor,33345.8,Not Available
2023,City of Windsor,40716.1,550.6
2023,City of Windsor,17893,Not Available
2023,City of Windsor,87064.1,209.9
2023,City of Windsor,238748.9,Not Available
2023,City of Windsor,435620.9,3105.8
2023,City of Windsor,1139059.8,Not Available
2023,City of Windsor,8146.6,Not Available
2023,City of Windsor,170834.3,Not Available
2023,City of Windsor,544817.8,3553.5
2023,City of Windsor,1228.8,Not Available
2023,City of Windsor,13962.9,Not Available
2023,City of Windsor,2304.5,Not Available
2023,City of Windsor,38258.2,Not Available
2023,City of Windsor,193844.8,1143.2
2023,City of Windsor,133496.8,Not Available
2023,City of Windsor,10769,308.5
2023,City of Windsor,418251.7,1807.5
2023,City of Windsor,188001,889.8
2023,City of Windsor,95169.5,556.6
2023,City of Windsor,77779.2,503.2
2023,City of Windsor,157226.6,884.8
2023,City of Windsor,228955.3,646.5
2023,City of Windsor,213339.8,860.5
2023,City of Windsor,77046.3,450.1
2023,City of Windsor,13029.9,Not Available
2023,City of Windsor,1501381.1,4285.8
2023,City of Windsor,Not Available,885.2
2023,City of Windsor,129315.7,344.1
2023,City of Windsor,38303.9,176.5
2023,City of Windsor,501167.1,4373.7
2023,City of Windsor,1195.7,Not Available
2023,City of Windsor,52793.4,Not Available
2023,City of Windsor,9105.6,Not Available
2023,City of Windsor,807806.2,41792.6
2023,City of Windsor,2432.8,Not Available
2023,City of Windsor,14592.2,Not Available
2023,City of Windsor,33845,Not Available
2023,City of Windsor,158613.4,1382.6
2023,City of Windsor,88881.4,323.6
2023,City of Windsor,139522.5,102.6
2023,City of Windsor,48016.4,Not Available
2023,City of Windsor,2248.8,220.6
2023,City of Windsor,5741834.4,2620.9
2023,City of Windsor,17266862.1,11657.5
2023,City of Windsor,98109.8,390.5
2023,City of Windsor,110452.5,839.5
2023,City of Windsor,79071.2,169.3
2023,City of Windsor,294211,0
2023,City of Windsor,72114.7,261.6
2023,City of Windsor,180590.1,807
2023,City of Windsor,197619.2,451.9
2023,City of Windsor,194558.1,Not Available
2023,City of Windsor,4793.5,Not Available
2023,City of Windsor,225500.4,590.6
2023,City of Windsor,942761.2,2919.9
2023,City of Windsor,136977.9,Not Available
2023,City of Windsor,174939.6,531.5
2023,City of Windsor,174952.2,1725.2
2023,City of Windsor,72423.1,Not Available
2023,City of Windsor,8073.6,Not Available
2023,City of Windsor,140211.7,799
2023,City of Windsor,85221.4,978.7
2023,City of Windsor,29685.1,Not Available
2023,City of Windsor,187706.8,384.8
2023,City of Windsor,701514.4,1252.9
2023,City of Windsor,41562.3,204.7
2023,City of Windsor,3099,Not Available
2023,City of Windsor,1718825.7,6640.1
2023,City of Windsor,98405.4,504.5
2023,City of Windsor,10673.7,Not Available
2023,City of Windsor,245957.1,Not Available
2023,City of Windsor,179135.8,351.9
2023,City of Windsor,79500.8,419.2
2023,City of Windsor,1136443.2,11138.8
2023,City of Windsor,23608.5,Not Available
2023,City of Windsor,41751.6,Not Available
2023,City of Windsor,19305.2,Not Available
2023,City of Windsor,23149.8,Not Available
2023,City of Windsor,6106431.1,39220
2023,City of Windsor,2502067.2,38250.6
2023,City of Windsor,31558.2,618.9
2023,City of Windsor,112895.9,1195.6
2023,City of Windsor,0,Not Available
2023,City of Windsor,3612161.3,Not Available
2023,City of Windsor,0,0
2023,City of Windsor,141925.1,352.7
2023,City of Windsor,43619.6,Not Available
2023,City of Woodstock,34556.3,1294.3
2023,City of Woodstock,277155.8,817
2023,City of Woodstock,404508.2,929.9
2023,City of Woodstock,249263.5,1063.4
2023,City of Woodstock,2453380.6,10467
2023,City of Woodstock,137634.6,587.2
2023,City of Woodstock,594057.6,2191.2
2023,City of Woodstock,112801.8,743.3
2023,City of Woodstock,262574,1730.2
2023,City of Woodstock,48718.3,556.6
2023,City of Woodstock,182211.4,1075.9
2023,City of Woodstock,44949.6,615.4
2023,City of Woodstock,603.1,1.2
2023,City of Woodstock,91565.5,484.4
2023,City of Woodstock,9642,108.2
2023,City of Woodstock,36607.3,410.1
2023,City of Woodstock,41399.1,987
2023,City of Woodstock,16726.1,63.1
2023,City of Woodstock,461615.5,4884.2
2023,City of Woodstock,256119.5,634
2023,City of Woodstock,2699.9,158.5
2023,City of Woodstock,329154,764.5
2023,City of Woodstock,430799.5,1443.4
2023,City of Woodstock,219282.8,843.5
2023,Cobourg Northumberland Hills Hospital,4273817.9,34899.8
2023,Clinton Public Hospital,800943.9,3646.1
2023,Cochrane Lady Minto Hospital,1671752.2,15842
2023,Collingwood General and Marine Hospital,4115864.2,19555.9
2023,Conestoga College,56432.6,250.4
2023,Conestoga College,191868,1105.1
2023,Conestoga College,527258.5,2562.3
2023,Conestoga College,108074.8,899.9
2023,Conestoga College,1053123.2,4132.8
2023,Conestoga College,52942.4,207.8
2023,Conestoga College,33182.3,130.2
2023,Conestoga College,139103,147.2
2023,Conestoga College,2317540,967.3
2023,Conestoga College,82100.3,476.1
2023,Conestoga College,123351.1,232.1
2023,Conestoga College,52192.1,245.6
2023,Conestoga College,98721.4,330.2
2023,Conestoga College,219968.1,233.8
2023,Conestoga College,113599.6,945.9
2023,Conestoga College,5381231.1,21118
2023,Conestoga College,95540.1,Not Available
2023,Conestoga College,357879.4,1691
2023,Conestoga College,488128.2,2115.4
2023,Conestoga College,816365.1,1383.7
2023,Conestoga College,103557.6,329.3
2023,Conestoga College,2261131.9,4400.6
2023,Conestoga College,90271.2,273.5
2023,Confederation College,815208.9,1852.2
2023,Confederation College,575999.9,1115.7
2023,Confederation College,101570,559.4
2023,Confederation College,97623,776.1
2023,Confederation College,1389888.2,3321.1
2023,Confederation College,6432699.5,10659.2
2023,Confederation College,855863.9,5167.7
2023,Confederation College,338026,550.4
2023,County of Brant,89040,Not Available
2023,County of Brant,85183,Not Available
2023,County of Brant,35459.9,309.5
2023,County of Brant,12359.7,Not Available
2023,County of Brant,2320620.2,7520.9
2023,County of Brant,212404.5,1087.1
2023,County of Brant,14370.6,108.3
2023,County of Brant,70434.5,Not Available
2023,County of Brant,Not Available,0
2023,County of Brant,4744.5,87.9
2023,County of Brant,9088.8,138
2023,County of Brant,28881.6,127.9
2023,County of Brant,19706.5,Not Available
2023,County of Brant,162174.3,339.5
2023,County of Brant,756086.3,1593.7
2023,County of Brant,19232.5,240.5
2023,County of Brant,44252.6,194.3
2023,County of Brant,9747,Not Available
2023,County of Brant,8062.4,Not Available
2023,County of Brant,35609.8,2.9
2023,County of Brant,36524.7,Not Available
2023,County of Brant,4393.6,Not Available
2023,County of Brant,13717.4,21.7
2023,County of Brant,1173.6,Not Available
2023,County of Brant,58487.1,219.1
2023,County of Brant,4841.4,119.7
2023,County of Brant,1070.5,Not Available
2023,County of Brant,Not Available,Not Available
2023,County of Brant,1605.7,Not Available
2023,County of Brant,92868.2,345
2023,County of Brant,26412.7,Not Available
2023,County of Brant,17868.8,4.8
2023,County of Brant,177558.4,Not Available
2023,County of Brant,7868.1,Not Available
2023,County of Brant,416.6,25.6
2023,County of Brant,566207.7,976.2
2023,County of Brant,150577.9,Not Available
2023,County of Brant,22678.6,Not Available
2023,County of Brant,221701.2,2691.3
2023,County of Brant,301036.5,Not Available
2023,County of Brant,34304.4,281.7
2023,County of Brant,39651,Not Available
2023,County of Brant,267816.6,Not Available
2023,County of Brant,4841.4,119.7
2023,County of Brant,23136.1,61.8
2023,County of Brant,5683.6,Not Available
2023,County of Brant,106117.2,544.9
2023,County of Brant,61777,675.1
2023,County of Brant,29718.8,914.7
2023,County of Brant,2329126.8,Not Available
2023,County of Brant,946622.9,917.1
2023,County of Brant,173537.9,Not Available
2023,County of Brant,8956.8,124.2
2023,County of Brant,11131.1,881.3
2023,County of Brant,21683,200.8
2023,County of Brant,27646.5,144.1
2023,County of Brant,370537.8,Not Available
2023,County of Bruce,12164,164.9
2023,County of Bruce,41261,137.4
2023,County of Bruce,65508,885.8
2023,County of Bruce,23000,Not Available
2023,County of Bruce,332710,738.4
